PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
,,1.4525,20.6175,22.07,,3.02,0.725,0.01,2.495,49.1925,,76.36,1.3325,58.49,35.87,711.1875,36.2,Good,Hyderabad
,,0.98,14.9875,15.4425,,3.135,0.5075,0.01,1.465,6.14,,72.8825,1.37,57.3875,37.3025,711.7675,25.4,Good,Hyderabad
,,3.9825,23.875,27.79,,2.67,0.4075,0.01,1.0825,15.0475,,76.35,2.0675,107.24,32.92,712.29,29.8,Good,Hyderabad
,,43.5125,35.895,79.4025,,2.9325,0.505,0.01,0.7575,36.4125,,81.5825,0.6025,109.8925,3.1725,712.4225,44.9,Good,Hyderabad
,,61.58,27.1825,88.765,,3.1825,0.45,0.01,1.2025,16.585,,83.3225,1.4925,52.49,1.54,712.565,34.0,Good,Hyderabad
,,0.4425,13.195,13.6375,,2.1175,0.36,0.0225,0.67,8.185,,86.1625,0.995,47.62,4.1025,711.995,18.0,Good,Hyderabad
,,0.7375,10.64,11.2575,,1.8275,0.2475,0.0425,0.4575,3.865,,85.42,0.6125,53.875,5.345,711.88,13.3,Good,Hyderabad
,,0.4475,9.5875,9.805,,1.6575,0.235,0.0625,0.3525,10.4675,,85.6775,1.365,58.8675,3.955,711.6525,12.0,Good,Hyderabad
,,0.1975,9.805,9.86,,1.555,0.21,0.07,0.305,8.2225,,85.9525,0.87,59.885,4.6525,711.17,12.3,Good,Hyderabad
,,1.155,11.825,12.98,,1.4025,0.2525,0.07,0.405,5.6525,,86.4475,0.7275,52.7275,5.59,710.8725,14.8,Good,Hyderabad
,,1.4375,10.29,11.73,,1.4275,0.2725,0.064375,0.575,9.435,,87.0225,1.65,35.695,6.1625,711.03,13.6,Good,Hyderabad
,,2.545,12.005,14.55,,1.1775,0.33,0.049375,0.4975,14.05,,87.4725,1.1225,58.8975,15.115,711.515,16.5,Good,Hyderabad
,,3.585,12.445,16.0325,,1.0725,0.4375,0.034375,0.9675,6.6075,,85.7825,1.205,55.4775,76.6025,712.07,21.9,Good,Hyderabad
,,55.4975,20.7725,76.2675,,1.525,0.5525,0.019375,1.3025,4.8375,,81.7325,1.2325,71.1025,143.515,712.6975,27.6,Good,Hyderabad
,,9.5275,11.83,21.36,,1.1425,0.5275,0.0125,0.9575,3.9075,,74.3375,1.2275,92.8475,309.735,713.4475,26.4,Good,Hyderabad
,,1.8425,6.815,8.6575,,0.9275,0.3275,0.02,0.8825,4.44,,70.79,1.945,56.17,397.57,713.4725,16.4,Good,Hyderabad
,,1.0825,6.6275,7.7075,,0.985,0.37,0.0275,0.77,13.085,,68.68,2.1025,54.175,512.315,712.88,18.5,Good,Hyderabad
,,1.5075,5.4225,6.93,,1.1375,0.2425,0.03,0.6475,13.8325,,62.7525,2.24,42.5675,572.5975,712.5475,12.1,Good,Hyderabad
,,93.6275,3.8175,95.475,,1.34,9.725,0.03,1.065,10.1875,,60.27,2.3675,53.5675,709.9125,712.005,196.6,Moderate,Hyderabad
,,1.0175,6.225,7.2425,,90.4475,0.2725,0.03,0.5125,6.4775,,57.3,2.24,58.23,534.5275,711.555,104.4,Moderate,Hyderabad
,,0.8,6.4475,7.2525,,1.69,0.28,0.03,0.445,7.5125,,57.74,2.535,52.2475,340.32,711.06,14.0,Good,Hyderabad
,,1.055,8.0,9.06,,1.7925,0.2575,0.0275,0.6325,12.975,,57.99,2.175,63.72,153.5925,710.795,12.9,Good,Hyderabad
,,1.1125,13.4725,14.58,,1.83,0.3675,0.02,0.7575,5.5675,,62.9125,1.9775,59.755,52.34,710.5775,18.4,Good,Hyderabad
,,1.3125,19.8525,21.1625,,1.685,0.65,0.01,1.515,7.12,,67.4825,1.4525,61.9925,38.845,710.6475,32.5,Good,Hyderabad
,,1.675,25.845,27.5225,,1.7375,0.8475,0.01,2.495,11.2975,,69.3375,1.15,60.0075,38.88,711.205,42.4,Good,Hyderabad
,,5.8125,31.68,37.4925,,1.83,1.0525,0.0105,2.965,10.905,,71.6075,1.06,61.0625,38.3775,711.5975,53.6,Satisfactory,Hyderabad
,,14.7275,34.225,48.95,,1.965,1.175,0.017,3.03,10.495,,73.875,0.7475,57.1625,38.0275,711.7125,59.6,Satisfactory,Hyderabad
,,12.695,31.005,43.695,,1.9025,0.9,0.025,2.4675,8.7575,,76.17,0.6025,60.7575,37.8075,711.7125,45.0,Good,Hyderabad
,,2.6875,24.585,27.275,,1.435,0.5825,0.033,2.2275,9.9025,,77.955,0.6975,58.2875,38.855,711.2175,30.7,Good,Hyderabad
,,3.7575,24.62,28.38,,1.39,0.5875,0.041,1.715,7.96,,79.4975,0.3625,62.8875,38.91,710.605,30.8,Good,Hyderabad
,,2.145,20.545,22.6925,,1.4125,0.4625,0.049,1.6125,7.435,,79.5575,0.425,60.465,39.2875,709.9525,25.7,Good,Hyderabad
,,2.2075,20.5075,22.3225,,1.5325,0.3825,0.057,0.9775,6.12,,79.95,0.3775,58.2225,39.34,709.155,25.6,Good,Hyderabad
,,2.54,18.805,21.345,,1.535,0.39,0.07,1.19,24.685,,81.4,0.5825,63.6,38.835,708.905,23.5,Good,Hyderabad
